Class ID,ID,Confidence LV,x_initial,y_initial,x_final,y_final,cluster
car,3,0.5893620252609253,490,218,111,453,1
car,8,0.5034871101379395,722,402,622,314,0
car,11,0.5442291498184204,650,334,590,277,0
car,5,0.6021006107330322,492,233,278,513,1
car,9,0.6143561005592346,484,225,203,462,1
car,16,0.6959348320960999,679,459,552,251,0
car,12,0.5937363505363464,482,227,131,456,1
car,17,0.701589047908783,889,488,594,263,0
car,19,0.5631009340286255,401,360,271,515,1
car,21,0.5893620252609253,490,218,111,453,1
car,26,0.5034871101379395,722,402,622,314,0
car,29,0.5442291498184204,650,334,590,277,0
car,23,0.6021006107330322,492,233,278,513,1
car,27,0.6143561005592346,484,225,203,462,1
car,34,0.6959348320960999,679,459,552,251,0
car,30,0.5937363505363464,482,227,131,456,1
car,35,0.701589047908783,889,488,594,263,0
car,37,0.5631009340286255,401,360,271,515,1
car,39,0.5893620252609253,490,218,111,453,1
car,44,0.5034871101379395,722,402,622,314,0
car,47,0.5442291498184204,650,334,590,277,0
car,41,0.6021006107330322,492,233,278,513,1
car,45,0.6143561005592346,484,225,203,462,1
car,52,0.6959348320960999,679,459,552,251,0
car,48,0.5937363505363464,482,227,131,456,1
car,53,0.701589047908783,889,488,594,263,0
car,55,0.5631009340286255,401,360,271,515,1
car,57,0.5893620252609253,490,218,111,453,1
car,62,0.5034871101379395,722,402,622,314,0
car,65,0.5442291498184204,650,334,590,277,0
car,59,0.6021006107330322,492,233,278,513,1
car,63,0.6143561005592346,484,225,203,462,1
car,70,0.6959348320960999,679,459,552,251,0
car,66,0.5937363505363464,482,227,131,456,1
car,71,0.701589047908783,889,488,594,263,0
car,73,0.5631009340286255,401,360,271,515,1
car,75,0.5893620252609253,490,218,111,453,1
car,80,0.5034871101379395,722,402,622,314,0
car,83,0.5442291498184204,650,334,590,277,0
car,77,0.6021006107330322,492,233,278,513,1
car,81,0.6143561005592346,484,225,203,462,1
car,88,0.6959348320960999,679,459,552,251,0
car,84,0.5937363505363464,482,227,131,456,1
car,89,0.701589047908783,889,488,594,263,0
car,91,0.5631009340286255,401,360,271,515,1
car,93,0.5893620252609253,490,218,111,453,1
car,98,0.5034871101379395,722,402,622,314,0
car,101,0.5442291498184204,650,334,590,277,0
car,95,0.6021006107330322,492,233,278,513,1
car,99,0.6143561005592346,484,225,203,462,1
car,106,0.6959348320960999,679,459,552,251,0
car,102,0.5937363505363464,482,227,131,456,1
car,107,0.701589047908783,889,488,594,263,0
car,109,0.5631009340286255,401,360,271,515,1
car,111,0.5893620252609253,490,218,111,453,1
car,116,0.5034871101379395,722,402,622,314,0
car,119,0.5442291498184204,650,334,590,277,0
car,113,0.6021006107330322,492,233,278,513,1
car,117,0.6143561005592346,484,225,203,462,1
car,124,0.6959348320960999,679,459,552,251,0
car,120,0.5937363505363464,482,227,131,456,1
car,125,0.701589047908783,889,488,594,263,0
car,127,0.5631009340286255,401,360,271,515,1
car,129,0.5893620252609253,490,218,111,453,1
car,134,0.5034871101379395,722,402,622,314,0
car,137,0.5442291498184204,650,334,590,277,0
car,131,0.6021006107330322,492,233,278,513,1
car,135,0.6143561005592346,484,225,203,462,1
car,142,0.6959348320960999,679,459,552,251,0
car,138,0.5937363505363464,482,227,131,456,1
car,143,0.701589047908783,889,488,594,263,0
car,145,0.5631009340286255,401,360,271,515,1
car,147,0.5893620252609253,490,218,111,453,1
car,152,0.5034871101379395,722,402,622,314,0
car,155,0.5442291498184204,650,334,590,277,0
car,149,0.6021006107330322,492,233,278,513,1
car,153,0.6143561005592346,484,225,203,462,1
car,160,0.6959348320960999,679,459,552,251,0
car,156,0.5937363505363464,482,227,131,456,1
car,161,0.701589047908783,889,488,594,263,0
car,163,0.5631009340286255,401,360,271,515,1
car,165,0.5893620252609253,490,218,111,453,1
car,170,0.5034871101379395,722,402,622,314,0
car,173,0.5442291498184204,650,334,590,277,0
car,167,0.6021006107330322,492,233,278,513,1
car,171,0.6143561005592346,484,225,203,462,1
car,178,0.6959348320960999,679,459,552,251,0
car,174,0.5937363505363464,482,227,131,456,1
car,179,0.701589047908783,889,488,594,263,0
car,181,0.5631009340286255,401,360,271,515,1
car,183,0.5893620252609253,490,218,111,453,1
car,188,0.5034871101379395,722,402,622,314,0
car,191,0.5442291498184204,650,334,590,277,0
car,185,0.6021006107330322,492,233,278,513,1
car,189,0.6143561005592346,484,225,203,462,1
car,196,0.6959348320960999,679,459,552,251,0
car,192,0.5937363505363464,482,227,131,456,1
car,197,0.701589047908783,889,488,594,263,0
car,199,0.5631009340286255,401,360,271,515,1
car,201,0.5893620252609253,490,218,111,453,1
