ID,x_initial,y_initial,x_final,y_final,cluster,,X,Y,ID,Cluster,x_c0,y_c0,x_c1,y_c1,x_c2,y_c2,x_c3,y_c3,x_c4,y_c4,,,,,Class ID,ID,Confidence LV,x_initial,y_initial,x_final,y_final,cluster,,,X,Y,ID,Cluster,,,,
10,480,5,312,512,0,,511,4,8,2,#N/A,#N/A,#N/A,#N/A,511,4,#N/A,#N/A,#N/A,#N/A,,,,,car,10,0.783,480,5,312,512,0,,init,480,5,1,0,,,,#NAME?
8,511,4,680,510,2,,680,527,12,2,#N/A,#N/A,#N/A,#N/A,680,527,#N/A,#N/A,#N/A,#N/A,,,,,car,8,0.764,511,4,680,510,2,,final,312,512,,0,,,,
12,522,20,680,527,2,,520,4,18,2,#N/A,#N/A,#N/A,#N/A,520,4,#N/A,#N/A,#N/A,#N/A,,,,,car,12,0.770,522,20,680,527,2,,,511,4,2,2,,,,
18,520,4,642,403,2,,671,447,14,2,#N/A,#N/A,#N/A,#N/A,671,447,#N/A,#N/A,#N/A,#N/A,,,,,car,18,0.786,520,4,642,403,2,,,680,510,,2,,,,
14,527,11,671,447,2,,571,18,16,2,#N/A,#N/A,#N/A,#N/A,571,18,#N/A,#N/A,#N/A,#N/A,,,,,car,14,0.748,527,11,671,447,2,,,522,20,3,2,,,,
16,571,18,900,439,2,,911,451,17,2,#N/A,#N/A,#N/A,#N/A,911,451,#N/A,#N/A,#N/A,#N/A,,,,,car,16,0.742,571,18,900,439,2,,,680,527,,2,,,,
17,560,4,911,451,2,,524,3,19,2,#N/A,#N/A,#N/A,#N/A,524,3,#N/A,#N/A,#N/A,#N/A,,,,,car,17,0.794,560,4,911,451,2,,,520,4,4,2,,,,
19,524,3,691,495,2,,552,13,30,1,#N/A,#N/A,552,13,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,car,19,0.795,524,3,691,495,2,,,642,403,,2,,,,
30,538,11,552,13,1,,343,25,40,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,343,25,#N/A,#N/A,,,,,car,30,0.598,538,11,552,13,1,,,527,11,5,2,,,,
40,343,25,340,26,3,,644,378,22,2,#N/A,#N/A,#N/A,#N/A,644,378,#N/A,#N/A,#N/A,#N/A,,,,,car,40,0.729,343,25,340,26,3,,,671,447,,2,,,,
22,530,7,644,378,2,,314,36,42,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,314,36,#N/A,#N/A,,,,,car,22,0.808,530,7,644,378,2,,,,,,,,,,
42,314,36,319,41,3,,475,27,45,1,#N/A,#N/A,475,27,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,car,42,0.584,314,36,319,41,3,,,,,,,,,,
45,476,21,475,27,1,,357,39,47,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,357,39,#N/A,#N/A,,,,,car,45,0.633,476,21,475,27,1,,,,,,,,,,
47,357,39,363,42,3,,523,28,37,1,#N/A,#N/A,523,28,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,car,47,0.634,357,39,363,42,3,,,,,,,,,,
37,526,22,523,28,1,,508,3,23,0,508,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,car,37,0.811,526,22,523,28,1,,,,,,,,,,
23,508,3,411,469,0,,406,488,21,0,406,488,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,car,23,0.801,508,3,411,469,0,,,,,,,,,,
21,484,3,406,488,0,,523,6,32,1,#N/A,#N/A,523,6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,car,21,0.788,484,3,406,488,0,,,,,,,,,,
32,523,6,539,29,1,,484,44,50,1,#N/A,#N/A,484,44,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,car,32,0.707,523,6,539,29,1,,,,,,,,,,
50,481,40,484,44,1,,510,41,46,1,#N/A,#N/A,510,41,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,car,50,0.665,481,40,484,44,1,,,,,,,,,,
46,510,41,519,42,1,,548,46,41,1,#N/A,#N/A,548,46,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,car,46,0.773,510,41,519,42,1,,,,,,,,,,
41,540,13,548,46,1,,507,37,43,1,#N/A,#N/A,507,37,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,car,41,0.817,540,13,548,46,1,,,,,,,,,,
43,507,37,510,59,1,,644,477,26,2,#N/A,#N/A,#N/A,#N/A,644,477,#N/A,#N/A,#N/A,#N/A,,,,,car,43,0.782,507,37,510,59,1,,,,,,,,,,
