ID,Type of Object,Max Confidence,Avg Confidence,On-screen Duration

0,car,0.859224,0.690295,0.0730554
2,car,0.8376,0.611293,0.900894
15,car,0.263643,0.230494,0.389316
7,car,0.523271,0.363016,0.961501
3,car,0.941186,0.810521,2.14264
6,car,0.943951,0.798192,2.26126
20,car,0.425357,0.362564,0.312164
4,car,0.94315,0.795689,2.96701
10,car,0.941351,0.782923,2.78863
8,car,0.960886,0.763634,3.24857
12,car,0.937769,0.770343,3.12911
18,car,0.933794,0.786492,2.29223
14,car,0.919308,0.747884,3.23133
11,car,0.330967,0.250375,3.6857
16,car,0.945289,0.742013,3.57698
17,car,0.932857,0.793882,2.8598
19,car,0.957163,0.794976,2.57587
33,car,0.66365,0.399205,0.130319
30,car,0.881257,0.597895,0.35003
40,car,0.87759,0.729169,0.108165
22,car,0.958079,0.807551,2.12345
42,car,0.654868,0.583775,0.123209
45,car,0.757629,0.632868,0.124991
47,car,0.761746,0.633649,0.220192
37,car,0.946445,0.811266,0.807514
23,car,0.965212,0.800749,2.56776
21,car,0.937241,0.788113,3.30262
32,car,0.901047,0.70693,1.25836
50,car,0.783145,0.664848,0.145827
46,car,0.925748,0.772927,0.948964
41,car,0.964549,0.817485,1.28508
43,car,0.909296,0.781506,1.47519
26,car,0.962489,0.791532,3.05489
53,car,0.971876,0.907565,0.920803
25,car,0.935721,0.761433,3.64603
27,car,0.95236,0.819337,3.02644
29,car,0.971794,0.830893,2.61175
28,car,0.942664,0.827665,3.03337
63,car,0.805955,0.782343,0.0194298
58,car,0.856475,0.758713,0.649818
1,person,0.887116,0.518931,8.12046
24,car,0.953906,0.757835,4.06338
36,car,0.883439,0.649397,2.52488
9,person,0.860159,0.610431,7.22813
62,car,0.948542,0.917499,0.460297
54,car,0.767966,0.701155,1.38818
44,car,0.964958,0.855011,2.42294
61,car,0.967083,0.907511,1.08564
48,car,0.97328,0.870141,2.29968
70,car,0.920526,0.904652,0.187762
67,car,0.865823,0.816882,0.426813
38,car,0.956101,0.828587,3.57305
75,car,0.792939,0.734562,0.0943326
73,car,0.850077,0.805289,0.529294
52,car,0.972686,0.873984,3.03387
51,car,0.933139,0.808299,3.16035
64,car,0.944347,0.849867,2.31527
56,car,0.966209,0.875545,3.45981
59,car,0.9677,0.861342,3.44298
68,car,0.919642,0.785452,2.4107
60,car,0.96083,0.878311,3.50862
80,car,0.835543,0.824685,0.00773726
79,car,0.89929,0.768861,0.519173
78,car,0.901714,0.780747,0.52375
77,car,0.942745,0.879747,0.903515
76,car,0.892846,0.814312,0.985875
74,car,0.976412,0.902641,1.60066
71,car,0.965313,0.929754,1.86848
69,car,0.967178,0.893028,2.38578
66,car,0.956915,0.876584,2.70514
65,car,0.955848,0.839495,2.7405
57,car,0.96826,0.907075,3.69024
55,car,0.968991,0.882233,3.91674
49,car,0.97096,0.891183,4.3196
72,car,0.96066,0.893361,1.6978
13,car,0.925231,0.699358,9.73185
5,car,0.958977,0.789705,10.1278
34,car,0.960773,0.815991,5.4373
31,car,0.910773,0.780677,5.49817
35,car,0.972244,0.927954,5.4114
39,car,0.972365,0.871054,5.32792
81,car,0.879035,0.746513,0.455611
83,car,0.8376,0.611293,0.953738
96,car,0.263643,0.230494,0.378642
88,car,0.523271,0.363016,0.970441
84,car,0.941186,0.810521,2.20929
87,car,0.943951,0.798192,2.32373
101,car,0.425357,0.362564,0.302682
85,car,0.94315,0.795689,3.02984
91,car,0.941351,0.782923,2.79237
89,car,0.960886,0.763634,3.26147
93,car,0.937769,0.770343,3.13725
99,car,0.933794,0.786492,2.28585
95,car,0.919308,0.747884,3.27216
92,car,0.330967,0.250375,3.71612
97,car,0.945289,0.742013,3.58415
98,car,0.932857,0.793882,2.84937
100,car,0.957163,0.794976,2.57715
114,car,0.66365,0.399205,0.119993
111,car,0.881257,0.597895,0.345685
121,car,0.87759,0.729169,0.0838383
103,car,0.958079,0.807551,2.12281
123,car,0.654868,0.583775,0.102534
126,car,0.757629,0.632868,0.116773
128,car,0.761746,0.633649,0.20008
118,car,0.946445,0.811266,0.782399
104,car,0.965212,0.800749,2.53548
0,car,0.686727,0.61037,0.0378387
2,car,0.8376,0.611293,0.977255
7,car,0.523271,0.363016,1.02627
15,car,0.263643,0.230494,0.434177
3,car,0.941186,0.810521,2.23429
6,car,0.943951,0.798192,2.35249
20,car,0.425357,0.362564,0.299176
4,car,0.94315,0.795689,3.0749
10,car,0.941351,0.782923,2.86072
8,car,0.960886,0.763634,3.32212
12,car,0.937769,0.770343,3.21499
1,car,0.8376,0.611293,1.04611
14,car,0.263643,0.230494,0.439432
6,car,0.523271,0.363016,1.07108
2,car,0.941186,0.810521,2.40736
5,car,0.943951,0.798192,2.51054
19,car,0.425357,0.362564,0.345967
3,car,0.94315,0.795689,3.37272
9,car,0.941351,0.782923,3.1139
7,car,0.960886,0.763634,3.57131
11,car,0.937769,0.770343,3.44642
17,car,0.933794,0.786492,2.54156
13,car,0.919308,0.747884,3.56073
10,car,0.330967,0.250375,4.07138
16,car,0.932857,0.793882,3.20686
15,car,0.945289,0.742013,3.97369
18,car,0.957163,0.794976,2.92626
32,car,0.66365,0.399205,0.17654
29,car,0.881257,0.597895,0.420644
39,car,0.87759,0.729169,0.108176
21,car,0.958079,0.807551,2.39621
41,car,0.654868,0.583775,0.160134
44,car,0.757629,0.632868,0.176585
46,car,0.761746,0.633649,0.261906
36,car,0.946445,0.811266,1.00658
22,car,0.965212,0.800749,3.01792
20,car,0.937241,0.788113,3.81614
31,car,0.901047,0.70693,1.4923
49,car,0.783145,0.664848,0.208207
45,car,0.925748,0.772927,1.1144
40,car,0.964549,0.817485,1.51448
42,car,0.909296,0.781506,1.76728
25,car,0.962489,0.791532,3.7142
