Class ID,ID,Confidence LV,x_initial,y_initial,x_final,y_final,cluster
car,1,0.9802,618,328,668,439,1
car,4,0.9093,677,494,677,494,1
car,2,0.9484,668,61,908,414,0
person,9,0.567,912,45,912,45,4
car,7,0.621,72,6,78,9,2
car,18,0.6337,237,4,238,5,2
car,10,0.8341,132,11,203,6,2
car,19,0.6681,518,4,519,4,1
person,25,0.5095,445,122,431,165,1
person,26,0.5467,413,224,413,224,1
person,27,0.5564,565,231,565,231,1
car,12,0.9457,478,8,306,464,5
car,11,0.9474,516,5,659,477,3
car,13,0.9388,553,6,911,452,0
person,30,0.5108,452,125,426,216,1
person,33,0.5273,416,257,416,257,1
car,15,0.9317,512,4,661,487,3
person,35,0.5593,404,305,404,305,1
car,16,0.9336,481,4,320,474,5
car,17,0.9309,548,4,912,442,0
car,20,0.9126,517,5,669,474,3
car,24,0.9321,557,4,917,436,0
car,23,0.9406,518,4,679,475,3
car,28,0.9454,562,4,900,437,0
car,43,0.8256,544,3,551,10,1
car,46,0.5392,34,20,36,29,2
car,29,0.9419,524,4,683,476,3
car,36,0.932,523,5,705,486,3
car,31,0.9392,484,3,408,489,5
car,39,0.931,566,4,913,457,0
car,59,0.6989,659,28,659,29,4
car,37,0.9415,508,4,409,481,5
car,60,0.763,690,36,684,41,4
car,42,0.945,565,5,906,454,0
car,63,0.7437,516,42,517,49,1
car,54,0.7454,322,17,335,67,2
car,41,0.9405,529,4,647,494,3
car,51,0.9457,554,26,915,482,0
car,40,0.9347,479,3,81,495,5
person,3,0.7423,931,16,954,137,4
car,69,0.7567,798,68,797,67,4
person,0,0.877,920,11,952,133,4
car,48,0.802,347,13,354,59,2
car,70,0.805,782,60,782,60,4
car,50,0.9243,524,17,678,493,3
car,57,0.924,527,33,385,492,5
car,73,0.8106,790,52,767,50,4
car,53,0.914,547,9,914,447,0
car,75,0.7701,326,53,326,55,2
car,76,0.815,361,44,350,48,2
car,78,0.8067,832,60,808,58,4
car,52,0.9179,505,15,403,484,5
person,81,0.5372,603,200,610,214,1
car,82,0.9513,394,515,394,515,1
car,84,0.8137,834,56,828,51,4
car,55,0.9099,524,15,697,486,3
car,78,0.8175,766,40,766,40,4
car,1,0.9802,618,328,668,439,1
car,4,0.9093,677,494,677,494,1
car,2,0.9484,668,61,908,414,0
person,9,0.567,912,45,912,45,4
car,7,0.621,72,6,78,9,2
car,18,0.6337,237,4,238,5,2
car,19,0.6681,518,4,519,4,1
car,10,0.8341,132,11,203,6,2
person,25,0.5095,445,122,431,165,1
person,26,0.5467,413,224,413,224,1
person,27,0.5564,565,231,565,231,1
car,12,0.9457,478,8,306,464,5
car,11,0.9474,516,5,659,477,3
car,13,0.9388,553,6,911,452,0
person,30,0.5108,452,125,426,216,1
person,33,0.5273,416,257,416,257,1
car,15,0.9317,512,4,661,487,3
person,35,0.5593,404,305,404,305,1
car,16,0.9336,481,4,320,474,5
car,17,0.9309,548,4,912,442,0
car,20,0.9126,517,5,669,474,3
car,24,0.9321,557,4,917,436,0
car,23,0.9406,518,4,679,475,3
car,28,0.9454,562,4,900,437,0
car,43,0.8256,544,3,551,10,1
car,46,0.5392,34,20,36,29,2
car,29,0.9419,524,4,683,476,3
car,31,0.9392,484,3,408,489,5
car,36,0.932,523,5,705,486,3
car,39,0.931,566,4,913,457,0
car,59,0.6989,659,28,659,29,4
car,37,0.9415,508,4,409,481,5
car,60,0.763,690,36,684,41,4
car,42,0.945,565,5,906,454,0
car,63,0.7437,516,42,517,49,1
car,54,0.7454,322,17,335,67,2
car,41,0.9405,529,4,647,494,3
car,51,0.9457,554,26,915,482,0
car,40,0.9347,479,3,81,495,5
person,3,0.7423,931,16,954,137,4
car,69,0.7567,798,68,797,67,4
person,0,0.877,920,11,952,133,4
car,48,0.802,347,13,354,59,2
car,1,0.9802,618,328,668,439,1
car,4,0.9093,677,494,677,494,1
car,2,0.9484,668,61,908,414,0
person,9,0.5670,912,45,912,45,4
car,7,0.6210,72,6,78,9,2
car,18,0.6337,237,4,238,5,2
car,10,0.8341,132,11,203,6,2
car,19,0.6681,518,4,519,4,1
person,25,0.5095,445,122,431,165,1
person,26,0.5467,413,224,413,224,1
person,27,0.5564,565,231,565,231,1
car,12,0.9457,478,8,306,464,5
car,11,0.9474,516,5,659,477,3
car,13,0.9388,553,6,911,452,0
person,30,0.5108,452,125,426,216,1
person,33,0.5273,416,257,416,257,1
person,35,0.5593,404,305,404,305,1
car,15,0.9317,512,4,661,487,3
car,16,0.9336,481,4,320,474,5
car,17,0.9309,548,4,912,442,0
car,20,0.9126,517,5,669,474,3
car,24,0.9321,557,4,917,436,0
car,23,0.9406,518,4,679,475,3
car,28,0.9454,562,4,900,437,0
car,43,0.8256,544,3,551,10,1
car,46,0.5392,34,20,36,29,2
car,29,0.9419,524,4,683,476,3
car,31,0.9392,484,3,408,489,5
car,36,0.9320,523,5,705,486,3
car,39,0.9310,566,4,913,457,0
car,59,0.6989,659,28,659,29,4
car,37,0.9415,508,4,409,481,5
car,60,0.7630,690,36,684,41,4
car,42,0.9450,565,5,906,454,0
car,63,0.7437,516,42,517,49,1
car,54,0.7454,322,17,335,67,2
car,41,0.9405,529,4,647,494,3
car,51,0.9457,554,26,915,482,0
car,40,0.9347,479,3,81,495,5
person,3,0.7423,931,16,954,137,4
